Unit_ID,Region,Locality,Furnished,Bathroom,No_Rooms,Area,AnnualPrice
kmva045,Jakarta Selatan,Kemang,1,1,0,43.0,132000000
mg2c209,Jakarta Barat,Tanjung Duren,1,1,2,42.0,55000000
tmjc172,Jakarta Pusat,Kemayoran,1,1,2,62.0,75000000
kgca002,Jakarta Selatan,Kebagusan,1,1,0,28.0,38000000
kpcc002,Jakarta Selatan,Kuningan,1,1,2,75.0,168000000
parf003,Jakarta Selatan,Pancoran,1,1,1,27.0,42000000
tmbb113,Jakarta Pusat,Kemayoran,1,1,1,29.0,44000000
tssb011,Jakarta Selatan,Semanggi,1,1,1,43.0,96000000
rmgc030,Jakarta Barat,Tanjung Duren,1,1,2,53.0,95000000
tmyc001,Jakarta Pusat,Kemayoran,1,1,2,85.0,95000000
mg1c087,Jakarta Barat,Tanjung Duren,1,1,2,40.0,39000000
mqrc052,Jakarta Barat,Kebon Jeruk,0,2,2,76.0,70000000
gcpc014,Bekasi,Pekayon,1,1,2,30.0,22000000
gprc164,Jakarta Pusat,Cempaka Putih,1,1,2,33.0,65000000
tmkb021,Jakarta Selatan,Kemang,1,1,1,87.0,144000000
gpkd006,Jakarta Pusat,Kemayoran,0,3,3,96.0,60000000
gbpc040,Jakarta Utara,Pluit,1,2,2,74.0,100000000
tmkb030,Jakarta Selatan,Kemang,1,1,1,87.0,204000000
twfb001,Jakarta Selatan,Kuningan,1,1,1,45.0,90000000
blzb007,Jakarta Selatan,Permata Hijau,1,1,1,65.0,132000000
mg2c076,Jakarta Barat,Tanjung Duren,1,1,2,42.0,58000000
pryb001,Jakarta Pusat,Gatot Subroto,1,1,1,63.0,162000000
mepc052,Jakarta Pusat,Menteng,1,1,2,61.0,200000000
gbpa037,Jakarta Utara,Pluit,1,1,0,21.0,30000000
bpra004,Jakarta Selatan,Bintaro,1,1,0,28.0,60000000
crac006,Jakarta Barat,Cengkareng,0,2,2,55.0,42400000
kmvc025,Jakarta Selatan,Kemang,1,2,2,89.0,210000000
hmtc001,Jakarta Selatan,Gandaria,1,2,2,123.0,486000000
bscc054,Jakarta Timur,Cipinang,1,1,2,34.0,55000000
trsb127,Jakarta Barat,Tanjung Duren,1,1,1,38.0,55000000
tmbc020,Jakarta Pusat,Kemayoran,0,1,2,52.0,72000000
mpra066,Jakarta Barat,Kedoya,1,1,0,28.0,38000000
parb027,Jakarta Selatan,Pancoran,1,1,1,33.0,43000000
kmva051,Jakarta Selatan,Kemang,1,1,0,43.0,144000000
pucb122,Jakarta Barat,Cengkareng,0,1,1,35.0,35000000
supc096,Jakarta Pusat,Sudirman,1,1,2,48.0,105000000
puma062,Jakarta Barat,Puri Indah,1,1,0,26.0,35000000
pkta052,Jakarta Selatan,Kebayoran Lama,0,1,0,23.0,48000000
mqrd014,Jakarta Barat,Kebon Jeruk,0,3,3,140.0,120000000
ascc002,Jakarta Pusat,Thamrin,1,2,2,128.0,486000000
puma055,Jakarta Barat,Puri Indah,1,1,0,26.0,35500000
supc019,Jakarta Pusat,Sudirman,1,1,2,52.0,75000000
tssa051,Jakarta Selatan,Semanggi,1,1,0,37.0,78750000
mepb009,Jakarta Pusat,Menteng,1,1,1,40.0,120000000
ganc018,Jakarta Utara,Kelapa Gading,1,1,2,35.0,27000000
trsb058,Jakarta Barat,Tanjung Duren,0,1,1,38.0,71000000
mrsc007,Tangerang,Serpong,0,1,2,39.75,45000000
trsc016,Jakarta Barat,Tanjung Duren,0,3,2,99.0,140000000
trsc063,Jakarta Barat,Tanjung Duren,0,1,2,44.0,78000000
gklc007,Bekasi,Pekayon,0,1,2,54.0,35000000
astb003,Tangerang,Cikokol,1,1,1,44.0,72000000
cagc005,Jakarta Selatan,Casablanca,1,2,2,80.0,291900000
mrsb002,Tangerang,Serpong,1,1,1,22.0,60000000
kucb017,Jakarta Selatan,Kuningan,1,1,1,50.0,144000000
trsd013,Jakarta Barat,Tanjung Duren,1,2,3,65.0,145000000
mepa047,Jakarta Pusat,Menteng,1,1,0,33.0,85900000
cdpa004,Tangerang,BSD City,1,1,0,28.0,39000000
rmgc015,Jakarta Barat,Tanjung Duren,1,1,2,53.0,75000000
kmvc059,Jakarta Selatan,Kemang,1,2,2,121.0,234000000
cipa001,Jakarta Barat,Puri Indah,0,1,0,26.0,25000000
mesc019,Jakarta Pusat,Menteng,1,1,2,49.0,72000000
tmjc108,Jakarta Pusat,Kemayoran,1,1,2,73.0,135000000
tnaa004,Tangerang,Karang Tengah,1,1,0,27.0,40000000
pumb025,Jakarta Barat,Puri Indah,0,1,1,37.0,39000000
gghc015,Jakarta Utara,Kelapa Gading,1,1,2,48.0,38000000
ppva032,Jakarta Barat,Kebon Jeruk,1,1,0,22.0,35000000
terc001,Jakarta Pusat,Thamrin,1,1,2,65.0,175000000
ppva101,Jakarta Barat,Kebon Jeruk,0,1,0,21.0,30000000
spvc026,Jakarta Utara,Sunter,1,1,2,35.0,33000000
trsd019,Jakarta Barat,Tanjung Duren,1,2,3,65.0,137000000
cepd001,Jakarta Barat,Tanjung Duren,1,2,3,110.0,230000000
pucb097,Jakarta Barat,Cengkareng,1,1,1,35.0,50000000
ppva043,Jakarta Barat,Kebon Jeruk,1,1,0,25.0,28500000
gpva016,Jakarta Barat,Cengkareng,0,1,0,25.0,21000000
tmjc141,Jakarta Pusat,Kemayoran,0,1,2,77.0,85000000
mtsb002,Tangerang,Gading Serpong,1,1,1,42.0,70000000
gwrc005,Jakarta Barat,Kebon Jeruk,1,2,2,86.0,111000000
strc010,Jakarta Timur,Cakung,0,1,2,36.0,20050000
gprc061,Jakarta Pusat,Cempaka Putih,1,1,2,33.0,52000000
tpca001,Tangerang,Cikokol,1,1,0,32.0,54000000
cagd003,Jakarta Selatan,Casablanca,1,2,3,104.0,327600000
lvnb004,Jakarta Selatan,Pancoran,1,1,1,63.0,120000000
astc001,Tangerang,Cikokol,1,1,2,52.0,90000000
