No_Rooms,Bathroom,Longitude,Latitude,Furnished,Area,Total_Facilities,AnnualPrice
1,1,106.81915900000001,-6.226598,1,43.0,23,96000000
2,1,106.75606100000002,-6.192081,0,35.0,19,30000000
2,1,106.757651,-6.186415,1,53.0,22,70000000
2,2,106.7846,-6.2726370000000005,1,85.0,24,576000000
2,1,106.79605600000001,-6.153652,0,48.0,15,32000000
2,1,106.87319099999999,-6.1879290000000005,1,33.0,21,60000000
2,1,106.85010700000001,-6.14907,1,58.0,14,80000000
3,2,106.811453,-6.259374,1,132.0,22,240000000
2,1,106.851836,-6.257162999999999,1,33.0,20,45400000
2,1,106.87319099999999,-6.1879290000000005,0,33.0,17,33000000
2,1,106.900954,-6.168483,1,46.0,19,34000000
0,1,106.88373,-6.157527,1,22.0,19,24000000
2,1,106.89933,-6.224079,0,50.0,13,35000000
2,1,106.83676000000001,-6.218768,1,76.0,24,85200000
2,1,106.7354,-6.1557,0,42.0,7,35000000
1,1,106.84297099999999,-6.24805,1,65.0,21,120000000
2,1,106.75606100000002,-6.192081,1,35.0,20,48000000
0,1,106.769194,-6.237472,1,23.0,18,43500000
0,1,106.762396,-6.200106,1,22.0,15,38000000
1,1,106.791409,-6.282965,1,56.0,24,150000000
0,1,106.832472,-6.360354,1,23.0,14,36000000
3,2,106.7917,-6.1792,1,65.0,15,137000000
1,1,106.816842,-6.1973519999999995,1,39.0,23,84000000
0,1,106.854417,-6.242630999999999,1,23.0,21,60000000
0,1,106.729326,-6.166036,1,26.0,19,46000000
3,2,106.87616000000001,-6.24354,1,82.0,21,96000000
1,1,106.85716000000001,-6.14607,0,30.0,16,45000000
2,1,106.85276999999999,-6.154767,1,37.0,20,68400000
1,1,106.6423,-6.3002,1,43.0,6,80000000
2,3,106.7917,-6.1792,1,99.0,14,135000000
2,1,106.85493600000001,-6.147823000000001,0,49.0,17,60000000
1,1,106.94893300000001,-6.203631,1,30.0,21,36000000
2,1,106.73191299999999,-6.13626,1,42.0,22,33000000
2,2,106.829196,-6.224797,1,90.0,24,204000000
2,1,106.728591,-6.182729,0,49.0,10,70000000
2,1,106.7917,-6.1792,0,50.0,7,60000000
3,2,106.793302,-6.177578,0,146.0,22,180000000
2,2,106.7917,-6.1792,1,99.0,15,240000000
3,2,106.845254,-6.242801,1,132.0,20,210000000
2,1,106.78816599999999,-6.175894,1,42.0,24,55000000
2,2,106.845254,-6.242801,0,97.0,14,336000000
2,1,106.75606100000002,-6.192081,1,35.0,20,39000000
2,1,106.85185800000001,-6.200232,1,30.0,20,44000000
2,1,106.62910600000001,-6.199893,1,41.0,21,35000000
0,1,106.729326,-6.166036,0,26.0,20,41000000
0,1,106.83541799999999,-6.307531,0,27.0,21,36000000
2,1,106.836638,-6.148474,0,42.0,16,40000000
2,2,106.82013899999998,-6.221259,1,104.0,22,204000000
2,2,106.750974,-6.1887,1,88.0,22,150000000
2,2,106.793302,-6.177578,1,99.0,22,140000000
3,3,106.804426,-6.2587459999999995,1,166.0,22,336000000
2,1,106.890391,-6.149836,1,42.0,24,65000000
